Year,Production
2004,380678
2005,417398
2006,428633
2007,407890
2008,342041
2009,268772
2010,90814
2011,0
2012,3128
2013,24305
2014,35096
2015,51095
2016,83922
2017,101327
2018,254530
2019,364236
2020,356311
2021,426477
2022,475745
