Year,Production
2004,455777
2005,448722
2006,424616
2007,353283
2008,327126
2009,139776
2010,0
2011,40998
2012,155275
2013,159055
2014,150047
2015,98801
2016,87266
2017,69585
2018,51941
2019,35395
2020,42550
2021,33094
2022,41905
