Year,Employment (News),WPV (News)
2004,3150,27.8072033898305
2014,1250,18.0693283992021
2015,1280,25.5234297108674
2016,1200,Inf
2021,3000,2926.82926829268
2022,5533.33333333333,315.811502387611
