Year,Employment (News),WPV (News)
2006,5500,12.8314898759545
2010,4700,51.754134825027
2012,1000,319.693094629156
2013,3000,123.431392717548
2016,6000,71.4949596053478
2017,10000,98.690378674983
2019,15000,41.1820907323823
2022,22000,46.2432605702635
